type,subtype,row1,row2,n_lattice_points,dim,reflexive,pts5d_count
5+5,overlap_3,"(2, 1, 1, 0, 0, 1, 1)","(2, 1, 1, 1, 1, 0, 0)",462,5,True,462
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(2, 2, 1, 0, 0, 1, 1)",445,5,True,445
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(3, 1, 1, 0, 0, 1, 1)",535,5,True,535
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(3, 2, 2, 0, 0, 1, 1)",481,5,True,481
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(4, 1, 1, 0, 0, 2, 1)",399,5,True,399
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 1)",581,5,False,581
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 2)",390,5,True,390
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 2, 1)",390,5,True,390
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",546,5,True,546
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",364,5,True,364
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(5, 3, 3, 0, 0, 3, 1)",333,5,True,333
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",214,5,True,214
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",289,5,True,289
5+5,overlap_3,"(2, 1, 1, 1, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",413,5,True,413
5+5,overlap_3,"(2, 2, 1, 0, 0, 1, 1)","(2, 2, 1, 1, 1, 0, 0)",496,5,True,496
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(3, 1, 1, 0, 0, 1, 1)",501,5,False,501
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(3, 2, 2, 0, 0, 1, 1)",498,5,True,498
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(4, 1, 1, 0, 0, 2, 1)",365,5,False,365
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 1)",607,5,True,607
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 2)",395,5,True,395
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 2, 1)",395,5,True,395
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",536,5,True,536
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",348,5,True,348
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(5, 3, 3, 0, 0, 3, 1)",331,5,False,331
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",226,5,True,226
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",301,5,True,301
5+5,overlap_3,"(2, 2, 1, 1, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",425,5,True,425
5+5,overlap_3,"(3, 1, 1, 0, 0, 1, 1)","(3, 1, 1, 1, 1, 0, 0)",651,5,True,651
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(3, 2, 2, 0, 0, 1, 1)",542,5,True,542
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(4, 1, 1, 0, 0, 2, 1)",502,5,True,502
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 1)",699,5,True,699
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 2)",469,5,False,469
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 2, 1)",469,5,False,469
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",622,5,True,622
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",413,5,False,413
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",242,5,False,242
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",329,5,True,329
5+5,overlap_3,"(3, 1, 1, 1, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",462,5,True,462
5+5,overlap_3,"(3, 2, 2, 0, 0, 1, 1)","(3, 2, 2, 1, 1, 0, 0)",575,5,True,575
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(4, 1, 1, 0, 0, 2, 1)",381,5,True,381
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 1)",620,5,True,620
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 2)",399,5,True,399
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(4, 2, 1, 0, 0, 2, 1)",399,5,True,399
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",653,5,True,653
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",416,5,True,416
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(5, 3, 3, 0, 0, 3, 1)",373,5,True,373
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",239,5,False,239
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",323,5,True,323
5+5,overlap_3,"(3, 2, 2, 1, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",511,5,True,511
5+5,overlap_3,"(4, 1, 1, 0, 0, 2, 1)","(4, 1, 1, 2, 1, 0, 0)",434,5,True,434
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 1)",530,5,True,530
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 1, 0, 0, 1, 2)",368,5,True,368
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 1, 0, 0, 2, 1)",368,5,True,368
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",438,5,False,438
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",296,5,False,296
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",175,5,False,175
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",238,5,False,238
5+5,overlap_3,"(4, 1, 1, 2, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",320,5,False,320
5+5,overlap_3,"(4, 2, 1, 0, 0, 1, 1)","(4, 2, 1, 1, 1, 0, 0)",846,5,True,846
5+5,overlap_3,"(4, 2, 1, 0, 0, 1, 2)","(4, 2, 1, 1, 1, 0, 0)",550,5,True,550
5+5,overlap_3,"(4, 2, 1, 0, 0, 2, 1)","(4, 2, 1, 1, 1, 0, 0)",550,5,True,550
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",683,5,True,683
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",441,5,True,441
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",282,5,True,282
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",381,5,True,381
5+5,overlap_3,"(4, 2, 1, 1, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",523,5,True,523
5+5,overlap_3,"(4, 2, 1, 0, 0, 1, 2)","(4, 2, 1, 1, 2, 0, 0)",378,5,True,378
5+5,overlap_3,"(4, 2, 1, 0, 0, 2, 1)","(4, 2, 1, 1, 2, 0, 0)",378,5,True,378
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",443,5,True,443
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",293,5,True,293
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",187,5,True,187
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",250,5,True,250
5+5,overlap_3,"(4, 2, 1, 1, 2, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",337,5,True,337
5+5,overlap_3,"(4, 2, 1, 0, 0, 2, 1)","(4, 2, 1, 2, 1, 0, 0)",378,5,True,378
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(4, 2, 3, 0, 0, 1, 1)",443,5,True,443
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(4, 2, 3, 0, 0, 2, 1)",293,5,True,293
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",187,5,True,187
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",250,5,True,250
5+5,overlap_3,"(4, 2, 1, 2, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",337,5,True,337
5+5,overlap_3,"(4, 2, 3, 0, 0, 1, 1)","(4, 2, 3, 1, 1, 0, 0)",775,5,True,775
5+5,overlap_3,"(4, 2, 3, 0, 0, 2, 1)","(4, 2, 3, 1, 1, 0, 0)",489,5,True,489
5+5,overlap_3,"(4, 2, 3, 1, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",264,5,True,264
5+5,overlap_3,"(4, 2, 3, 1, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",597,5,True,597
5+5,overlap_3,"(4, 2, 3, 0, 0, 2, 1)","(4, 2, 3, 2, 1, 0, 0)",321,5,True,321
5+5,overlap_3,"(4, 2, 3, 2, 1, 0, 0)","(5, 3, 3, 0, 0, 3, 1)",276,5,True,276
5+5,overlap_3,"(4, 2, 3, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",174,5,True,174
5+5,overlap_3,"(4, 2, 3, 2, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",234,5,True,234
5+5,overlap_3,"(4, 2, 3, 2, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",375,5,True,375
5+5,overlap_3,"(5, 3, 3, 0, 0, 3, 1)","(5, 3, 3, 3, 1, 0, 0)",253,5,True,253
5+5,overlap_3,"(5, 3, 3, 3, 1, 0, 0)","(6, 4, 3, 0, 0, 3, 2)",160,5,False,160
5+5,overlap_3,"(5, 3, 3, 3, 1, 0, 0)","(6, 4, 3, 0, 0, 4, 1)",217,5,True,217
5+5,overlap_3,"(5, 3, 3, 3, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",325,5,True,325
5+5,overlap_3,"(6, 4, 3, 0, 0, 3, 2)","(6, 4, 3, 3, 2, 0, 0)",111,5,True,111
5+5,overlap_3,"(6, 4, 3, 0, 0, 4, 1)","(6, 4, 3, 3, 2, 0, 0)",144,5,True,144
5+5,overlap_3,"(6, 4, 3, 3, 2, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",208,5,True,208
5+5,overlap_3,"(6, 4, 3, 0, 0, 4, 1)","(6, 4, 3, 4, 1, 0, 0)",195,5,True,195
5+5,overlap_3,"(6, 4, 3, 4, 1, 0, 0)","(6, 4, 5, 0, 0, 1, 2)",279,5,True,279
5+5,overlap_3,"(6, 4, 5, 0, 0, 1, 2)","(6, 4, 5, 1, 2, 0, 0)",473,5,True,473
